"","X.med_c.","X.med_a.","X.0.00738537819475593.","X.0.009380231628263.","X..0.127135373136644."
"1","med_c","med_a","0.00738537819475593","0.009380231628263","-0.127135373136644"
"2","med_c","Beak_length_Culmen","0.648646880912461","0.000272596177673857","2.12327842618342e-05"
"3","med_c","Beak_length_Nares","0.856232666456574","4.3102475747399e-05","1.19483953868494e-05"
"4","med_c","Beak_width","0.650524250119567","0.000269484062340075","-0.000108420301617526"
"5","med_c","Beak_depth","0.895553738381386","2.2631995077845e-05","-2.03418933028092e-05"
"6","med_c","Tarsus_length","0.738574305397679","0.000146258051441955","1.3682318972307e-05"
"7","med_c","Wing_length","0.171713731968039","0.00244993854458539","-1.95617891661725e-05"
"8","med_c","Kipps_distance","0.0147641679179564","0.00777576995402093","-6.72740978017546e-05"
"9","med_c","Hand_wing_index","0.128023348984751","0.00303715103479764","-0.000166277837662277"
"10","med_c","Tail_length","0.529743264070471","0.000518426197337447","-8.78810345395803e-06"
"11","med_c","Mass","0.788336786739189","9.46464298381053e-05","-8.81420196509242e-08"
"12","med_c","forest1","0.694691868228255","0.000202281530158167","-0.000481057188785707"
"13","med_c","grassland1","0.381609310069682","0.00100476203292042","-0.00124726123822022"
"14","med_c","human1","0.102970616884824","0.00348559743651237","-0.0050080301477784"
"15","med_c","wetland1","0.180181966809586","0.00235588362070288","0.00158880088213344"
"16","med_c","shrubland1","0.33996841102552","0.00119501775605654","0.00163920523870215"
"17","med_c","woodland1","0.984732185894814","4.80901919728819e-07","2.61887408934618e-05"
"18","med_c","marine1","0.685348369043405","0.000215560882571691","-0.00323837573406309"
"19","med_c","riverline1","0.743981102835121","0.000140053661004226","-0.00328865402461506"
"20","med_c","coastal1","0.635029099073086","0.000295822781729337","-0.000670966997767839"
"21","med_c","rock1","0.319977976733575","0.00129795694402713","0.00635568500661216"
"22","med_c","desert1","0.661525203329904","0.000251676957617525","0.00667574582243802"
"23","med_c","carnivore1","0.957958876868829","3.64921887855433e-06","6.45659115782091e-05"
"24","med_c","herbivore1","0.643575681148675","0.000281110927017183","-0.000616280581483573"
"25","med_c","omnivore1","0.544529802546313","0.000482101012674579","0.00115489816152547"
"26","med_c","scavenger1","0.61543814820375","0.000331306180458072","-0.018593464292758"
"27","med_c","australian1","0.757499095717175","0.000125188194226646","0.00133627354482926"
"28","med_c","palearctic1","0.642003469833239","0.000283783024231643","-0.000601733406383461"
"29","med_c","indo_malay1","0.862765539169071","3.9235980128902e-05","-0.000251812324275128"
"30","med_c","madagascar1","0.355317339202652","0.00112133501877382","-0.0184556104299175"
"31","med_c","neotropic1","0.175658693479539","0.00240547372863125","-0.00401184165754628"
"32","med_c","nearctic1","0.152291292158328","0.00268731933933117","0.00413163912908329"
"33","med_c","afrotropic1","0.69175028391794","0.000206409529560953","0.00131922133641786"
"34","med_c","oceania1","0.319051774789174","0.00130293157142679","0.00733594188083902"
"35","med_c","antarctic1","0.105842270438695","0.00342842014730646","0.0163574383960697"
"36","med_c","invertivore1","0.422852117368823","0.000843209279675759","0.0020202712240103"
"37","med_c","vertivore1","0.354948057977047","0.00112305668334512","0.00951070342022652"
"38","med_c","aquatic_predator1","0.93496751053762","8.74323502238246e-06","0.000116601847117927"
"39","med_c","omnivoretn1","0.167550469348139","0.00249815300100316","-0.00207138569755966"
"40","med_c","granivore1","0.784585098083953","9.81167301504206e-05","0.00121921601712683"
"41","med_c","frugivore1","0.290966055951858","0.00146333491207639","0.00281796569421637"
"42","med_c","nectarivore1","0.261965467994866","0.00165108456420978","-0.0140897713188793"
"43","med_c","herbivore_aquatic1","0.879032992912601","3.04176184978285e-05","0.000226732125451291"
