Species-ID,Order,Species name,IUCN name,Tree name,HWI,Sample size,Body mass (log),Range Size,Island,Migration-1,Migration-2,Migration-3,Territoriality,Diet,Habitat,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange,Synonym,Notes
10049,Rheiformes,Rhea americana,Rhea americana,Rhea_americana,"0,016588323",4,"4,361727836",592,0,Not a Migrant,1,resident,none,omnivore,3,"-20,63","21,95613119","19,9289242","1197,553785","162,7520696",,
10050,Rheiformes,Rhea pennata,Rhea pennata,Rhea_pennata,"0,016167494",4,"4,378397901",130,0,Not a Migrant,1,resident,none,omnivore,3,"-35,79","9,135526977","24,10852616","255,8050928","34,73229094",,
10051,Casuariiformes,Casuarius casuarius,Casuarius casuarius,Casuarius_casuarius,"0,033337907",4,"4,643452676",101,"0,207920792",Not a Migrant,1,resident,strong,fruit,1,"-7,46","24,8175","10,98810383","2721,307225","209,9780217",,
10052,Casuariiformes,Casuarius bennetti,Casuarius bennetti,Casuarius_bennetti,"0,047738228",4,"4,54406792",72,"0,097222222",Not a Migrant,1,resident,weak,fruit,1,"-6,37","23,59327","10,4270495","2732,249","183,78107",,
10053,Casuariiformes,Casuarius unappendiculatus,Casuarius unappendiculatus,Casuarius_unappendiculatus,"0,038016176",4,"4,663454504",43,"0,186046512",Not a Migrant,1,resident,weak,fruit,1,"-3,02","24,90260625","9,258144844","2881,682344","151,2405016",,
10054,Casuariiformes,Dromaius novaehollandiae,Dromaius novaehollandiae,Dromaius_novaehollandiae,"0,081413713",4,"4,532668403",416,0,Nomadic,1,nomadic,weak,omnivore,3,"-26,06","21,19573936","27,28313163","505,458366","83,93484663",,
10055,Apterygiformes,Apteryx australis,Apteryx australis,Apteryx_australis,"0,1",4,"3,365583444",6,"0,333333333",Not a Migrant,1,resident,strong,invertebrates,1,"-40,26","11,7362103","18,99510303","1926,459697","85,02355152",,
10056,Apterygiformes,Apteryx mantelli,Apteryx mantelli,Apteryx_mantelli,"0,1",4,"3,365583444",11,0,Not a Migrant,1,resident,strong,invertebrates,1,NA,NA,NA,NA,NA,,
10057,Apterygiformes,Apteryx rowi,Apteryx rowi,NA,"0,1",1,NA,NA,NA,Not a Migrant,1,resident,strong,NA,1,NA,NA,NA,NA,NA,,
10058,Apterygiformes,Apteryx owenii,Apteryx owenii,Apteryx_owenii,"0,1",4,"3,092822366",2,0,Not a Migrant,1,resident,strong,invertebrates,1,"-38,2","13,90524","17,8136","1487,516","79,23014",,
10059,Apterygiformes,Apteryx haastii,Apteryx haastii,Apteryx_haastii,"0,1",5,"3,30592718",3,0,Not a Migrant,1,resident,strong,invertebrates,2,"-41,51","10,374054","18,47872","2375,646","111,54286",,
10060,Galliformes,Alectura lathami,Alectura lathami,Alectura_lathami,"21,46232524",4,"3,367925908",86,"0,011627907",Not a Migrant,1,resident,weak,omnivore,1,"-22,8","21,53782479","21,1885265","1113,620889","196,5624018",,
10061,Galliformes,Aepypodius arfakianus,Aepypodius arfakianus,Aepypodius_arfakianus,"16,90595315",4,"3,165481743",52,"0,076923077",Not a Migrant,1,resident,strong,fruit,1,"-5,34","23,2658254","10,51181683","3182,649048","172,3463825",,
10062,Galliformes,Aepypodius bruijnii,Aepypodius bruijnii,Aepypodius_bruijnii,"8,908450704",1,"2,283301229",4,1,Not a Migrant,1,resident,strong,fruit,1,"-0,38","26,71805","7,414815","2770,945","169,227",,
10063,Galliformes,Talegalla cuvieri,Talegalla cuvieri,Talegalla_cuvieri,"27,08029013",4,"3,25163822",21,"0,238095238",Not a Migrant,1,resident,strong,invertebrates,1,"-2,24","25,81619091","8,28787","2761,34697","147,0123333",,
10064,Galliformes,Talegalla fuscirostris,Talegalla fuscirostris,Talegalla_fuscirostris,"25,18367679",4,"3,118750679",49,"0,06122449",Not a Migrant,1,resident,strong,invertebrates,1,"-7,71","24,50155758","11,21531909","2906,823333","214,5614242",,
10065,Galliformes,Talegalla jobiensis,Talegalla jobiensis,Talegalla_jobiensis,"24,77024594",4,"3,169912379",38,"0,131578947",Not a Migrant,1,resident,strong,invertebrates,1,"-6,18","24,06439189","10,52047892","2720,675946","191,1615568",,
10066,Galliformes,Leipoa ocellata,Leipoa ocellata,Leipoa_ocellata,"30,94309038",4,"3,281916973",153,0,Not a Migrant,1,resident,strong,seeds,2,"-31,49","17,89478462","27,35287404","360,0764183","35,23252554",,
10067,Galliformes,Macrocephalon maleo,Macrocephalon maleo,Macrocephalon_maleo,"22,05617508",4,"3,194031215",21,"0,047619048",Not a Migrant,1,resident,none,omnivore,2,"-1,97","25,24875098","10,24402176","2082,762157","186,2527",,
10068,Galliformes,Eulipoa wallacei,Eulipoa wallacei,Eulipoa_wallacei,"33,52739634",2,"2,703265578",25,1,Not a Migrant,1,resident,none,invertebrates,1,"-1,51","26,01582692","8,237140385","2140,529615","180,8921154",,
10069,Galliformes,Megapodius pritchardii,Megapodius pritchardii,Megapodius_pritchardii,"18,81364412",4,"2,562292864",1,1,Not a Migrant,1,resident,strong,invertebrates,1,"-17,43","25,434","8,716","2249,48","206,82",,
10070,Galliformes,Megapodius laperouse,Megapodius laperouse,Megapodius_laperouse,"31,96790192",3,"2,488550717",6,1,Not a Migrant,1,resident,strong,invertebrates,2,"15,66","26,27333","8,239833","2104,777","203,27167",,
10071,Galliformes,Megapodius nicobariensis,Megapodius nicobariensis,Megapodius_nicobariensis,"20,12304361",4,"2,922564578",2,1,Not a Migrant,1,resident,strong,invertebrates,1,"7,59","27,222225","7,6333325","2376,665","234,59725",,
10072,Galliformes,Megapodius cumingii,Megapodius cumingii,Megapodius_cumingii,"26,13674046",4,"3,018700499",109,"0,532110092",Not a Migrant,1,resident,strong,invertebrates,2,"-1,56","25,30658043","10,10416761","2061,030217","170,1772",,
10073,Galliformes,Megapodius bernsteinii,Megapodius bernsteinii,Megapodius_bernsteinii,26,1,"2,885683428",8,"0,75",Not a Migrant,1,resident,strong,omnivore,2,"-1,89","26,02646667","9,708332222","1909,103333","184,8377",,
10074,Galliformes,Megapodius tenimberensis,Megapodius tenimberensis,Megapodius_tenimberensis,"21,54150198",1,"2,9424099",4,1,Not a Migrant,1,resident,strong,plants,2,"-12,36",NA,NA,NA,NA,,
